"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_1274159",0.547875,0.1556375,119.5205,0.1534125,0.3862625,0.1650685,0.68825,-8.561375,0.5545,44.977113867,-14.4439501523,-18.0494468028,-10.7161192552,20.7153624836,-22.4555247691,-2.6596097961,-3.2449012713,-4.5441942818,-2.5089680167,-11.9761867647,-0.0879697211,60.6240383408,3798.2153302868,2566.8190547957,2811.5871724266,887.9730515582,1116.4529489734,577.2671432174,583.3417610346,268.0746228573,370.2786316561,395.5544936297,179.8667595124
"User_281041",0.538875,0.1277625,130.153875,0.1401375,0.25315,5.87875e-06,0.73975,-7.343875,0.668375,45.5348176082,25.1751906188,-11.5145943462,0.3961615219,27.8497802984,-10.2625183024,-7.4187028362,0.1039988586,-3.4180509813,1.0541768497,-14.8081480863,-1.3216718382,57.327554421,2315.5300753237,2702.0252061148,2868.2940446156,1210.8824763854,1559.347402286,695.4726506853,651.1925610348,324.6619295989,362.4502090393,489.3011064121,237.7882077176
"User_509979",0.095,0.149,104.65,0.0361,0.605,0,0.685,-11.908,0.276,40.4230017762,-2.8273712256,-16.0287744227,1.3961847247,40.5153108348,1.9478774423,6.3766305506,-0.6462735346,-12.1105683837,-2.0807655417,-19.9838401421,-1.3091527531,37.0986471157,2632.9254369242,3798.4165045665,4304.5989002505,528.4589663641,1514.2544749547,809.7239058063,713.8644616546,217.2529338472,423.3562091122,829.6845591025,156.7865982293
"User_722759",0.6465,0.1629,139.857,0.0857,0.3936,9.2e-07,0.6195,-5.8995,0.561,48.2058952558,41.711430266,26.1193820443,2.7745651519,34.5079838387,-8.7631267563,-1.49272652,2.2152513945,-11.0524054754,0.1269839086,-13.1177929336,-2.4064475492,28.9546836834,3205.660709814,3022.7458942668,2424.9724890119,910.1206498,1139.8038387668,792.5140507979,567.7141578934,472.6664876347,402.9707455701,373.3425967649,206.4053722079
"User_114615",0.682,0.12,98.944,0.514,0.585,2.81e-05,0.439,-8.203,0.558,46.6317920434,-40.5847504521,-16.8606509946,-30.4769620253,12.3298173599,-13.5450198915,-11.8592585895,-3.1124611212,3.982994575,-10.299238698,-15.3655081374,-4.9311754069,21.2207347012,4945.9791909449,1970.8224280066,3637.7088644533,636.2605220481,887.281240784,438.7461999493,940.9042077308,216.3849573605,331.3291219538,784.0275182794,168.0014240652
"User_227451",0.6882272727,0.2321454545,106.0182272727,0.1022,0.0948898182,0.1175907723,0.6808636364,-6.2931818182,0.5168409091,47.9945355774,34.2692771759,-7.7439807283,1.8854589325,20.5398256424,-19.9886866396,1.4450908176,-0.7487199278,-4.8755803814,0.8672596066,-14.1878288075,-2.6688028934,36.788754368,2901.7478811216,2586.4254934982,2161.6653812262,880.4497650028,1199.3665168382,611.6327135365,826.5524358415,275.4646802352,389.2900984224,417.6405293997,219.4693537512
"User_755500",0.6929090909,0.1721454545,103.5731818182,0.2456272727,0.2238163636,0.0831263636,0.7330909091,-6.8699090909,0.6334545455,46.3523771841,27.3422576642,-15.4802743288,1.3685101205,24.9349562513,-15.7808601304,-11.7613733124,1.0945632507,-6.3625270773,2.6423997579,-14.8259157249,0.3371003658,26.5318520351,2644.5760244065,2518.9948000281,2813.3233983075,908.5801431706,1373.5113753913,673.0014262001,1019.1982104773,319.2147460793,485.5917316622,478.759812557,208.3826703166
"User_145754",0.4211428571,0.1596285714,125.9981428571,0.0465571429,0.6056714286,2.03571428571429e-06,0.521,-10.0951428571,0.5758571429,44.287986769,36.9860230453,21.1788901899,-9.244355411,39.9452742304,-13.3076196135,-7.3597261067,2.8685560361,-4.8707339385,-1.1627960954,-12.0289079253,1.5301177742,37.0676563171,3573.8275900611,2681.2869060972,2399.5739497795,850.1027324404,884.25316329,946.2558761574,566.9369764193,325.4399479168,316.0473730169,388.3582136305,275.5156795167
"User_33669",0.4560833333,0.134275,126.2024166667,0.0627916667,0.4452083333,0.0281880792,0.57675,-10.2775833333,0.5249833333,43.5649641909,3.3585560857,-11.6739838285,-8.0797158297,17.1545832823,-15.7265658252,-7.1629194036,-1.8231830244,-4.7145677218,0.4501701335,-12.6037565847,0.0431920422,53.3010539879,3603.84055322,2167.9347069592,2374.4024996741,697.1811174296,1261.9856117283,616.25512374,725.6068807195,255.2182933745,366.3786759612,406.110719887,191.2939508167
"User_204903",0.6496,0.21574,117.7009,0.13626,0.191357,0.174323712,0.6611,-8.1974,0.4984,46.6572318221,17.361599408,-15.6047066508,-8.67594109,12.8496876394,-18.9551038318,-4.2207207754,-2.8846344592,-2.7162559359,-4.1545238069,-12.5099894338,-0.106446895,29.9194616449,3311.2041399988,2198.3440572627,2193.9878536106,808.6355655445,1050.6631645304,602.4059728414,740.3522348127,269.7323349556,344.2316696226,408.0009423142,185.0797813655
