"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_443358",0.3998045455,0.16705,121.8133181818,0.0376409091,0.6044172727,0.0618391545,0.5004090909,-10.7746363636,0.3756363636,44.0896166934,-14.1512684474,-10.0999515159,-19.1100661715,15.2166864185,-20.6918709003,-8.7276781673,-2.7665218469,-4.1367873297,-1.378444138,-8.7204677729,2.5447011195,44.751964914,2842.0284251659,1558.6912452574,1389.3805108836,561.3174307478,572.0470017785,486.0713539217,475.0413661902,248.5284077674,252.8702665654,247.389668218,167.4095505051
"User_289492",0.4866875,0.17631875,110.9563125,0.04553125,0.432512,0.03113901,0.530625,-9.6894375,0.4639375,44.9265026882,11.8757285385,-8.0471295164,-10.567766898,17.5188006061,-20.2247099292,-3.9259893096,-2.9641225517,-7.3975756078,-1.0000908117,-9.3189145314,3.5162622087,47.0273522201,2264.9188140091,1785.5238914372,1718.9214875942,713.295820716,775.8375708707,566.9970919605,532.5460682542,275.0471754309,298.140043738,274.8564521267,194.7505581879
"User_657578",0.2891785714,0.1296785714,115.6023571429,0.0326357143,0.6860785714,0.0725649114,0.5111428571,-13.0411428571,0.3972857143,41.0122815122,-17.6559605052,-21.8383045877,-19.3999518514,11.9060174002,-20.7523753258,-8.0979933337,-5.708582592,-5.9311918337,-0.9201133155,-8.1728415625,5.2644063679,48.5365055097,3265.8992408748,1452.8429548909,1321.6936213601,578.6063271383,657.0363781655,456.105090501,547.9648615652,255.4544484942,293.9775701914,260.1687548349,180.8978395363
"User_531843",0.455,0.103375,110.597,0.038525,0.5276425,0.21075038,0.52475,-10.52475,0.386,43.7091218147,-27.6956682311,-10.0934866837,-13.1383530022,13.5632052527,-20.3184924618,-2.8572637262,-0.5890357974,0.7045881205,1.6904540423,-9.9400467826,-0.1377073856,42.5872062438,2602.419727156,2054.3741065261,1667.145447566,707.3007193266,849.3049436662,487.8049971831,440.3188033708,266.2556959799,261.3383287668,295.0809650957,187.9043487173
"User_414289",0.4060909091,0.2607090909,101.2759090909,0.0574545455,0.4434545455,0.0963728455,0.4273636364,-11.9418181818,0.2873181818,42.3004866338,1.2835577062,-2.2796277968,-15.3679293278,15.6076499777,-21.4650089937,-3.0185258089,-2.5442396717,-3.444256277,-1.0555071247,-9.6217404154,0.876315109,56.7257168709,2563.0327716506,1814.8222957937,1321.2550490778,600.9202252681,560.0224730547,549.1353192186,419.9642327763,290.9442174869,241.5873041171,215.6323243973,195.6732224838
"User_552263",0.5201111111,0.1275,119.2618888889,0.0578666667,0.3698,0.0777289756,0.523,-8.3328888889,0.3789888889,46.4864823973,-2.0829837822,-10.070208434,-14.8960375321,12.6649314363,-21.7939524287,-4.7348026709,-2.387039148,-4.7491761377,0.8556277038,-10.7013571297,-1.0511516952,40.5763372544,2923.4261244329,1520.5994966117,1531.6692819205,699.2237275737,671.1910309567,613.1329554752,540.7887760714,269.4986145005,311.6307830038,269.2958416884,221.0669860167
"User_165316",0.3971,0.15747,100.6153,0.06461,0.6055,0.5483275,0.5281,-12.9907,0.3558,40.6510982753,-37.0100215461,-23.0737874865,-15.0548306743,23.6414999943,-24.8954598375,-6.0640219779,-5.2751713025,-2.4507219745,-4.0745389368,-8.2610359887,1.108250148,64.9857235522,5287.4374985034,1972.9885730794,1496.2752816326,649.8936911418,746.3474495973,480.4742719428,493.774167619,275.6434174694,282.8291100768,216.7584667326,168.2574476761
"User_354730",0.2819,0.138275,119.4071666667,0.0333666667,0.785,0.0814467442,0.51775,-14.1675833333,0.274025,40.038972903,-41.3711457874,-26.3770682189,-22.4389922621,23.229336058,-22.1912334614,-12.1618411401,-5.9680679947,-2.0857257394,-2.651014342,-8.2926493223,2.0018407283,47.345812227,3641.3875845212,1418.4925704156,1623.4813591591,691.6034886627,677.7606795876,483.2446958216,558.3750185448,274.18341133,300.6562306015,269.0156640146,179.0434921123
"User_151948",0.4185180723,0.1362686747,124.385939759,0.044053012,0.5287874699,0.0410034036,0.5900963855,-11.7282891566,0.5240192771,42.5774355957,-0.6346622326,-11.5057998874,-9.6818734747,21.9909687032,-17.4996264942,-4.7347333459,-3.2368182309,-4.6236961031,-1.1217486578,-9.8826812583,3.5949865649,42.906153386,2592.9315739362,1816.7699259699,1880.4286375125,666.3512883758,892.4080200768,562.2100362691,554.5406750419,277.7492729955,318.409768482,330.6386490425,219.0333456911
"User_793757",0.4515882353,0.1780764706,118.4937647059,0.0367882353,0.4391158824,0.0012444976,0.4750588235,-8.2822941176,0.295,45.9548268237,7.0584116416,0.8819047213,-17.405226704,19.9834615133,-19.5876554543,-6.0689450516,-2.7945548874,-3.2665018289,-1.5087459379,-9.4620562227,0.6943982871,54.374766661,2815.5374175228,1898.9179329041,1850.3923452517,714.6861365618,676.956446901,654.0277468533,512.5862134767,290.4818578348,274.3542636082,307.7334676166,227.2516027349
