"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_656101",0.1870666667,0.1293333333,97.791,0.0378333333,0.8956666667,0.8416666667,0.1683333333,-20.8526666667,0.069,35.259848267,-82.6884829879,-1.1716868112,-25.5840914854,29.175394844,-35.6557688778,-8.3658119477,-0.4209802972,1.1731406276,-0.8444912296,-4.2763836045,-4.7373332226,44.6768856088,2792.1257079481,2244.3545556009,742.3894539637,819.2275753359,217.9189507523,455.3187168497,240.7676985376,251.9368390941,146.1448295292,96.9305527381,187.0619208375
"User_740705",0.16022,0.13504,105.368,0.04001,0.8419,0.453656716,0.3566,-17.5804,0.16659,36.9386804851,-45.1500300693,33.3729461115,-5.0022770899,40.546991164,-24.9897034972,-6.408131857,0.5422582231,-3.1628378164,-2.8181983846,-5.1413275066,4.9920909734,44.6013481866,3772.4051228841,2024.8482534023,1670.9382851173,935.5552106666,402.1537919991,849.7257322725,359.7455709428,352.2842131047,187.0959903129,231.6546805931,285.44540361
"User_131261",0.4627777778,0.1556111111,113.5324444444,0.0478666667,0.5555222222,0.5577954444,0.4521111111,-11.7811111111,0.2964666667,43.4916297788,-39.0626625426,18.4219571116,-9.8918374216,23.6322399466,-26.8123715626,2.7004333899,-0.5299741982,-10.8524314893,-5.2360379815,-5.8446998641,0.3674835639,48.461670076,2475.6884232149,2028.2181842102,1196.4893321945,818.6548799959,512.6468675068,635.8619453178,330.9044263808,300.3750757506,204.7253922952,174.322269256,202.8340906946
"User_422324",0.2470625,0.1361875,128.487125,0.0408125,0.850175,0.7026,0.298,-17.917125,0.119575,36.6755925386,-87.2070913343,23.8402058647,-0.1155259201,32.1466464314,-27.7329286292,-4.2954874685,1.4131435938,-7.004731694,-4.7097077577,-3.6879002029,4.2396494634,43.1082976803,2571.5871155697,1510.6754763451,1255.8473546395,639.0853009481,372.6495667113,571.8019987863,253.9396666851,273.1707330531,143.8234142483,158.2780579893,226.697786254
"User_274174",0.08095,0.0851,145.946,0.0421,0.561,0.673,0.25,-19.06,0.07505,31.4073881555,-35.5488244308,17.9136619105,-14.252996455,24.5425448843,-29.5047534231,3.7014486973,7.3019171156,-7.3141001558,0.2211251798,-6.2814893152,-2.3444747571,136.9234465501,6188.4586170155,4462.0359266487,1695.5798099078,2377.6033102548,441.4348877688,737.4340247417,358.2297903082,375.1396074485,215.7970604555,168.0190526908,367.8134796208
"User_449739",0.4446,0.11693,129.8235,0.04022,0.513,0.53453321,0.4451,-11.6181,0.20926,42.4943145231,-31.509862268,7.4093396432,-9.679978826,17.3731662512,-26.1014357881,-5.276334076,-2.7852573895,-6.8203842908,-3.6289487996,-5.6088047683,0.8626153293,54.5350430462,3465.0628528143,1647.3764949917,1088.7185907543,703.8336097163,500.5111627404,427.9446341183,432.8974283483,278.5367756521,234.2515441714,192.7022383226,183.0374014301
"User_66687",0.570425,0.2741125,115.911625,0.093225,0.389671375,0.6942,0.393,-11.99675,0.22175,43.5782376988,-21.5549345024,6.18259015,-11.2112969759,11.3737239421,-29.8272065476,3.0818619958,-5.9221778035,-4.5931523414,-3.2622925981,-8.228033324,-1.7856539101,49.2946281726,3714.7698873846,1731.8275374721,919.1985568168,900.9427716131,460.4885091381,543.5952953268,352.6297110973,320.0546494518,203.2787733256,151.3558570603,178.696418234
"User_1045776",0.59,0.0896,90.044,0.0269,0.61,0.737,0.508,-8.078,0.0769,45.9205502471,-38.0233278418,40.0434431631,-3.5745617792,28.4082652389,-24.8203887974,-1.7491350906,1.5053014827,-5.3388846787,-5.9791054366,-4.789970346,-3.2886128501,98.2431902644,7029.3911045046,604.9347763627,694.0636101245,986.024426852,322.8069951093,433.3523620939,241.4404292406,185.5872112276,141.8974549328,105.5532194843,118.5865259802
"User_368262",0.24185,0.2178166667,114.9608333333,0.2127666667,0.9055,0.5196542333,0.3803333333,-22.7106666667,0.25585,30.9943647905,-63.1579011205,-5.2670940338,-9.0435312528,24.4977674627,-24.5719157341,-9.5566742289,5.7432124365,-13.5976085568,-2.3527365955,-6.7824845127,1.2293801482,49.2604252763,4088.4370090918,2163.3988545269,1806.6601552076,803.2979597839,663.0240962031,499.4491015202,557.8631117089,320.4596752346,281.593633634,269.7007260456,203.7510297544
"User_511632",0.2942723529,0.1872823529,111.9097647059,0.0368294118,0.7635582353,0.6355116835,0.4248823529,-16.1532352941,0.2127117647,38.1146912794,-72.7281986008,13.4811051422,0.392171212,31.3228442962,-25.2357353483,0.635821616,2.5148960566,-11.2234339055,-3.8484562076,-5.7426898362,-0.0838395032,51.4035006265,3068.3449733339,1844.0327303573,1410.3901667716,774.9566200744,562.7807196211,510.5060821071,397.0773250468,298.2170910503,195.8545265503,185.302832511,198.0660948837
"User_208331",0.0972333333,0.1023,93.9093333333,0.054,0.908,0.5732166667,0.3573333333,-25.2393333333,0.1441,28.3761745244,-49.2646185325,15.2092355887,-7.9366516158,34.3722064989,-25.583803365,-2.9540752981,5.5902698935,-4.1600689845,2.7695501682,-7.5007267765,-4.2477440758,66.4724212104,3743.4648443818,2008.4681772284,1803.6807783329,848.5930461269,449.8007530817,749.7840594466,341.1588907781,252.5539736762,160.9756305432,200.8102898651,242.3854685291
"User_175746",0.324,0.155,121.2868571429,0.04,0.7438571429,0.6803257143,0.4305714286,-15.1757142857,0.1549428571,38.8884870523,-47.312470684,9.0925749033,-8.1005502773,32.2870149252,-28.2744871654,-8.2968620447,-3.6569325765,-7.6954524542,-1.1559145591,-4.1692057415,-0.3040652873,61.9214695136,3761.0660968053,1746.033148543,939.2611492504,1412.7324213419,534.1013641038,421.5626772583,341.2036123241,379.6297895403,257.4471074814,173.6418485088,220.2097624926
"User_1407653",0.0595,0.0827,90.116,0.036,0.941,0.891,0.368,-28.603,0.339,26.3155707317,-147.5473434146,-66.7823326829,-25.147355122,13.028924878,-37.4580097561,-8.855115122,10.2807073171,-4.7311746341,-0.8213326829,-8.0340292683,-8.4232653659,33.2076151808,2561.644113755,2544.643928275,1537.0727857449,688.7041189406,903.8774773456,418.2582172348,292.3076162658,283.2983355818,173.8804972183,232.9047375577,102.343102533
"User_76223",0.353864,0.11086,100.5954,0.05144,0.458800288,0.759,0.3262,-16.767,0.14006,38.6335069454,-34.0713188722,7.7774059756,-11.828246373,21.2046890893,-30.2642498455,-2.3604709711,-0.6052861614,-6.7884218087,-4.6132421093,-5.2139013861,1.9011010697,38.5478494744,3605.9863737642,2597.7343273915,1027.6252488256,669.575687961,325.4617691372,448.1084007925,416.3744863033,319.8009796559,225.9475042001,120.1586658054,183.4105099139
"User_438990",0.1314733333,0.1406133333,98.9447333333,0.03958,0.9083333333,0.7386666667,0.2904,-20.8462666667,0.10728,34.1200765981,-43.4377216636,30.6195590328,-6.5458401025,31.3398520133,-26.0476192,-7.1195488774,-0.8524333635,-6.8902566458,-1.3150890855,-5.1422737098,1.9178784602,58.0372719286,4796.9240069531,2368.1776097429,1124.8356014873,1020.6040162992,365.3456813957,646.4693102798,278.8248976127,339.7250914589,172.6774830489,156.4669676983,290.0169706791
"User_569844",0.4101428571,0.2613,131.0472857143,0.0387714286,0.5816,0.6268977143,0.4407142857,-12.1691428571,0.4279857143,42.4158074395,-25.7740338457,2.3930392415,-2.2392315196,29.9457778524,-28.3001776261,0.0315700701,-3.5369311448,-7.0295580458,0.0637699067,-6.5891236644,8.3137638169,42.3221298136,2675.1742741573,1549.9068784976,1247.3675945471,645.4034968992,615.6039864061,615.6327168212,398.5031916095,278.5402948555,243.8961308758,216.1944472643,200.6266548719
"User_96053",0.0546325,0.0935125,106.73725,0.0403375,0.952375,0.906125,0.247,-25.2535,0.051625,29.6505163134,-105.7750358579,12.888481056,-9.531437226,36.7679990823,-31.8916665895,3.7953502544,6.8978245902,-5.5959175892,-0.8901361868,-4.4348989643,0.0499030721,50.7512488418,3580.6596726788,2222.6385448274,1173.3700992744,846.9576021436,400.3507678882,726.0664433449,277.3232599106,342.5738435814,142.2759095331,114.6126521341,236.4602061804
"User_173069",0.1090025,0.102775,117.082,0.0396625,0.9665,0.83575,0.18825,-23.5485,0.1003375,31.4393670044,-68.7716821526,22.4283037592,-8.8054580194,47.0783296537,-32.6351266526,-12.8037305202,1.6036449042,-9.634978493,-2.0416931009,-1.7852915741,4.4087620976,50.0191376292,2359.1902308802,1977.5705905893,991.5669790056,643.9277625078,285.6004093128,473.8215865925,230.8555488521,305.217442885,104.2951877511,92.6964970914,193.2432130927
