"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_303972",0.7015,0.2008666667,127.7071666667,0.0619,0.0431673333,0.17437325,0.464,-8.334,0.3416166667,47.1281304711,33.24871211,3.1986632402,-8.7487065005,11.1051047714,-31.6123685674,2.4452641108,-0.5074177025,-4.9397022619,0.9936052174,-9.6607383558,-1.7378480527,40.834433988,2082.0432301734,1958.7388295914,1149.7109934084,641.0259692152,564.9973068803,504.9036870526,387.4785133362,279.5820047619,244.9492036102,168.1465331639,183.8480597514
"User_217668",0.6094153846,0.1254153846,128.2673076923,0.0352384615,0.3346507692,0.1157471154,0.4863076923,-8.3717692308,0.4588461538,47.0236170528,-0.6037196483,3.1098820752,-12.0759768027,12.849464432,-26.2155237977,-3.3305945306,-1.581675204,-2.5445626015,-0.8660656569,-6.6088520686,0.9064082168,35.8059667531,2422.6817242914,1333.1816255508,1041.8662874364,606.2810451697,501.0436937398,429.45376146,366.4293340627,253.120398726,202.7345396517,193.7865428986,183.3907500138
"User_214048",0.5998333333,0.13885,108.5641666667,0.03835,0.18931455,0.14489764,0.5511666667,-7.8265,0.3733333333,46.6736608167,20.0267743304,5.8065025392,-9.3661941512,13.0256461679,-24.9586167371,-0.6275525423,-0.0990125826,-6.801021316,-1.016957362,-8.8018685952,-0.2130182946,43.1951291827,3013.5767334524,1945.5821677344,1245.0911195843,683.6140266262,627.4368609979,565.6588543136,430.2930698145,269.0853028286,231.2830136796,226.1138831522,198.5796806202
"User_1170920",0.605,0.112,121.986,0.0318,0.0183,0.837,0.63,-7.495,0.752,46.9188184049,-28.2358208589,13.0539472393,-4.3219582822,19.4086613497,-36.3036969325,13.586591411,-0.3397840491,-1.2144711656,-0.514795092,-5.6830245399,-8.1761766871,37.2233358441,2594.959350501,1583.5097140894,786.8677442734,922.2056486026,625.6659143638,452.3480182395,366.0636190983,249.1542912519,226.7923999272,187.1909463876,166.8794407771
"User_350700",0.5302,0.10658,103.5142,0.0318,0.33688,0.03424824,0.4644,-7.9776,0.3192,46.4211669098,-7.7070660462,-5.6599181935,-15.9186359362,18.5752790631,-29.3806154507,-1.0226972112,-3.5262597752,-12.3301663776,-1.7480312425,-6.8990501419,-0.494326863,50.0840614239,3092.4463606198,1528.6585504652,940.828497379,704.9935648758,508.7675969682,574.6213182015,522.3649115573,262.6384849037,259.7875172846,184.7178459558,210.555788178
"User_165194",0.5870054795,0.1889150685,124.1068493151,0.0491726027,0.2908683,0.1229593174,0.5224109589,-8.8415068493,0.4780863014,46.3335053586,12.501417239,-0.7665321139,-10.0047283387,18.4535296715,-22.5686861826,-4.1182651475,-1.8995298057,-5.0581601782,-0.458193894,-9.2905746151,-0.7236261453,40.6202214233,2768.7214192532,1707.2923163081,1488.9997571896,844.4996390263,749.2042206032,518.1799277602,493.1997892858,274.4870641551,286.6260204012,265.9509134605,190.2939723517
"User_1334387",0.6295,0.148675,109.9475625,0.042575,0.27543625,0.3893619375,0.5325625,-8.3193125,0.32145625,46.7669039014,0.3783847282,1.639799821,-6.1820016879,15.3662025683,-27.952159026,1.8647540145,-1.4879730826,-1.8400976423,0.0536483553,-8.0159700289,2.1232089457,41.804158963,3624.707869737,2122.8187171095,1275.155498999,711.3827110044,706.365381711,522.5207705772,366.0397492156,246.5235995794,244.8440702068,209.7602220171,186.0699099325
"User_260502",0.4889,0.2724285714,124.7945714286,0.0372714286,0.3809842857,0.0783601643,0.4028571429,-9.1367142857,0.1312571429,45.3969528947,4.6598804253,0.8195750279,-18.7527917883,17.9367931138,-28.6266865806,-6.8269913321,-2.480035339,-1.1100553152,-0.7389217349,-6.6898121016,2.5555093433,53.9174479101,3586.3445237413,1850.6068067713,1004.6707737335,761.3918033879,432.0290270908,600.9238239036,331.7141869855,252.2504576818,207.4198536425,171.3885083382,217.6842289044
"User_259820",0.5736590909,0.2010522727,116.4392727273,0.0431840909,0.3030591591,0.1048526252,0.54675,-7.9173409091,0.4278045455,46.7625131904,13.2626437551,-1.4251548853,-8.8163574482,16.9043435796,-22.1848761138,-2.56999489,-4.1815235993,-4.3531021341,-0.8871853556,-9.4521157686,-0.6627169859,43.4251048026,2565.2882254937,1730.5479765056,1553.1454917732,690.7450367679,777.347660416,535.2540044192,485.8047084331,258.3361562608,290.7248258901,273.5597574598,214.8934686258
"User_1020933",0.5224444444,0.1713777778,125.8504444444,0.0389666667,0.4017166667,0.2724655444,0.4452222222,-8.772,0.2627111111,46.3864210709,-19.5164327844,-6.9890119677,-17.8519386552,19.4118040959,-29.5082554264,3.3778802574,-1.9057582275,-0.455715327,0.2544271734,-8.5054216808,0.9442761376,44.3234828601,2722.1730663829,1669.6402108995,1248.5021120473,591.0791490691,509.2964721149,531.7908211479,432.3321443233,231.098123503,232.0160766454,196.4979100337,181.9516854184
"User_178933",0.5686315789,0.1861631579,126.6112631579,0.0445,0.4181000053,0.1203657968,0.4719473684,-8.8959473684,0.3938105263,46.4231079689,-1.3143073826,6.9794066772,-8.9249875437,14.1521948943,-22.6817569179,-1.2250287587,-1.7578337023,-6.8300485491,-2.1341701071,-7.798766491,2.1138284228,43.5445500705,2549.0589912846,1807.904026273,1341.525636971,648.7496005798,585.8438053712,511.3431823628,418.4856564468,262.6314688759,239.0434289858,238.5821567344,190.9881802959
