"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_131980",0.4759166667,0.1757,103.08,0.0540333333,0.3630833333,0.2534133333,0.5408333333,-9.5996666667,0.3261666667,44.3061933553,-26.2692388457,-23.0721397256,-16.8938094933,8.2165119741,-25.4358559362,-5.1283996918,-1.0612538478,-4.3007353742,-1.7317533989,-9.3219206376,-0.8110340439,57.8038252746,3600.8610226042,3077.7253555823,1856.290218925,951.8413112083,852.1255174459,564.6712628786,516.2847940155,334.6031170314,271.3342786636,264.1389683037,196.1687146677
"User_1444645",0.387,0.24865,167.1135,0.035,0.52,0.0427,0.509,-10.8995,0.5475,41.5041204007,-27.2541641926,-4.9564657595,-7.9033427883,22.0201093489,-24.6407855754,3.0650152948,2.9693400128,-5.3937147113,0.918973583,-5.8719933473,2.4593453576,48.6073484584,4152.6927988301,2316.9874910074,2850.3896804597,804.5296464952,1025.1270070102,591.713814733,517.7579693016,301.2009843596,384.749209177,389.1331389927,213.114025261
"User_30317",0.488,0.31686,140.9058,0.04872,0.248812,0.088050508,0.5252,-12.0322,0.4812,42.5944142671,22.5075314342,-22.380752316,-5.8973942441,8.0250052508,-22.2201978392,0.7943458445,-3.6682135367,-6.6883783773,2.3513558696,-11.07098216,1.7729122602,32.2990750535,3043.5262448525,2267.6751265319,2299.78619713,767.3295007095,1092.3110652486,519.5732141816,641.1785912972,307.9190526224,384.9759676061,339.0641435577,187.9692545989
"User_376714",0.6176,0.14726,134.0246,0.04266,0.31084,0.6868,0.6168,-8.7734,0.52554,44.2386210089,7.1600755299,-35.1054596187,8.8335307365,22.5626456292,-34.5806526032,-12.8494721366,-5.7382532317,-10.7885948858,-1.236266535,-8.6488137278,3.6110726678,37.5538480538,3482.2132212374,2499.5439952353,2021.481859323,908.2351917573,1278.1315366972,581.1440002305,649.6229651842,323.380675122,373.6506221016,337.2549270998,180.7095527525
"User_1312389",0.5636,0.18432,136.6612,0.0406,0.2392,0.001898742,0.5892,-7.7964,0.5882,46.141393597,30.6035258481,9.1188559671,-4.571202216,24.6722759218,-18.1532376161,-1.0985374483,-1.4519657308,-8.8745277891,-0.0248161427,-10.5048561228,-0.8987482171,53.2645396935,2787.0592562768,2433.3620161698,2064.4073305054,801.0760066507,971.4563466702,664.5626024903,507.5414947809,300.7432842135,282.1154527185,338.6443106591,254.0238523341
"User_184577",0.5462857143,0.1629,124.063,0.0391142857,0.4115714286,0.0246285429,0.6105714286,-8.2718571429,0.4188714286,45.6276355509,15.7292089513,2.0942658664,-7.2423642985,36.5072218139,-25.043236832,-10.8961650528,-7.0801524552,-5.9767623948,0.6821032471,-8.91044806,-0.3881398149,59.4825183676,3621.0434552396,2784.1554836724,1798.8752714851,946.7621319964,891.3146060471,789.2215350267,741.5573255744,363.2163648169,380.0217277134,342.906412722,217.1415671404
"User_1166234",0.387,0.1060333333,120.534,0.0341666667,0.7853333333,0.425,0.6683333333,-11.6176666667,0.294,40.8275873368,-52.1426840052,-20.4756072747,-7.305260025,31.442716139,-25.0981601763,3.3857382131,-6.1500937927,-2.5205253485,1.902082059,-9.9643674389,1.024701686,65.1518866375,3833.5381639083,2618.2701993143,2210.5727013323,864.8022782767,974.4966681213,538.2561929434,874.0129056431,296.0890381502,515.091611441,323.2432333526,219.6244427419
"User_111261",0.465,0.09706,128.31,0.0461,0.4084,0.43902,0.4712,-12.2794,0.42556,42.7460964157,-36.4030239616,-4.5175139394,-3.4342806483,13.7142156977,-27.4509955968,3.0024947198,-2.0067510451,-3.5279428122,-2.5998406584,-9.484066689,-1.6539019331,37.1599058808,4369.6838732384,2082.1073092248,2095.4504422402,809.0057203532,1022.5458982077,594.934018592,598.3444665796,269.2167994866,308.1065695274,334.3627143294,218.7503056216
"User_136859",0.6451428571,0.1057142857,120.9107142857,0.0622285714,0.4034,0.5005658571,0.5857142857,-8.5761428571,0.4871428571,46.0136225536,-7.7013216588,-9.3071423588,-5.4673323191,18.9195770562,-29.8066665524,-3.4948981743,-6.092158869,-4.0182169645,-0.5113061582,-10.309297678,-0.3062508078,38.8944376708,3222.8891309867,3216.0061272135,1685.9788993071,1048.9822061183,857.4884154474,601.8474203683,579.2999240255,397.0696859824,341.1512158474,264.8895450625,181.9164687447
"User_28823",0.6199717949,0.2021666667,116.9601794872,0.0663205128,0.1831184923,0.4836232862,0.5881025641,-9.3422564103,0.2636897436,44.5366797522,7.8096349825,-9.2828542823,1.6544501598,22.5934468344,-33.2988000346,4.4174202119,-2.4584393591,-6.4632572596,0.3615892062,-9.4944655955,0.8566148028,42.1258043524,4475.1177584907,2970.1598166072,1747.1633173658,1080.3287282451,918.5504696923,682.1948354488,522.1663681472,325.9827276982,334.6847089407,280.4325747551,226.2563375435
