spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
2SpHd4lGMrJMIQDf92V6VP,0.94,0.656,120.097,0.0375,0.0309,0.862,0.579,4,-6.89,0.401,1
6jIvShcsrWjHuNpPnkAhb2,0.569,0.0826,118.665,0.0877,0.255,0.814,0.83,11,-14.666,0.703,0
6DJx9OKnfpvebBhwRHUGEL,0.787,0.239,133.642,0.031,0.000663,0.0825,0.342,2,-7.634,0.497,1
5hi7EEjisnPSL5C284bhSC,0.286,0.271,119.913,0.0359,0.851,0,0.689,5,-10.934,0.478,0
6qsArsTq6WoqtUFUe1e15W,0.529,0.126,95.971,0.0242,0.534,0.0683,0.588,2,-7.838,0.591,1
2uk0YH2ahN0UE5jaCMa5jn,0.923,0.159,135.001,0.061,0.00107,1.54e-05,0.561,5,-3.409,0.415,1
503XNurC4HR0m5a224PJZW,0.216,0.0959,162.487,0.0299,0.908,0,0.389,9,-7.76,0.21,1
43nIGHt7hkR2vfwIjesDon,0.468,0.103,133.904,0.0333,0.0105,5.09e-05,0.335,1,-7.918,0.34,1
4evGW5N0eRbVzw9dyES0xt,0.368,0.149,141.974,0.048,0.376,0,0.463,9,-11.546,0.75,1
7630alXL5HfQAHQhBam5pJ,0.697,0.135,90.853,0.0315,0.000269,0.207,0.389,8,-7.215,0.413,0
2rtDHB2fSisS34D0ArWg06,0.853,0.166,119.955,0.0372,0.0935,0.169,0.313,5,-5.812,0.579,1
4vD4GNg2RwuuKkH8CWoxXB,0.697,0.246,133.014,0.038,0.00259,0.428,0.475,9,-2.268,0.546,1
1RmpCq7WxpJtzlVTyjPEcb,0.626,0.183,111.901,0.0288,0.22,0.249,0.372,7,-5.374,0.111,1
7eBCnTwZlfH8PmdJCSgabA,0.679,0.113,81.759,0.0413,0.161,0.008,0.464,11,-8.785,0.539,1
