spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,loudness,valence,mode
7exWPCkxT0y7WDai8Z09GJ,0.19,0.127,92.278,0.041,0.837,4.21e-06,0.556,11,-18.302,0.188,0
4NUwHak99ltaqdMUMhnYuA,0.447,0.15,81.862,0.029,0.842,0.0613,0.493,6,-10.582,0.724,1
1u1YU1LE0FWHFOHpR2iXua,0.172,0.286,133.899,0.0409,0.909,0.00154,0.686,8,-14.979,0.563,1
7H2zem6ynyk67mqqXDIwDS,0.129,0.271,103.039,0.0519,0.928,0.0023,0.39,2,-15.872,0.175,1
0KO0sxe0o8LjmESVyEfV7p,0.238,0.151,115.785,0.038,0.884,1.16e-05,0.69,7,-11.106,0.424,1
5Bf5C7RkyXTqE1h3Q8KZJ7,0.775,0.115,153.963,0.0513,0.129,0.0106,0.621,0,-7.662,0.216,1
5cb6ff7eLQZShmhuV3O7Xk,0.529,0.0574,135.59,0.0271,0.12,0.0521,0.534,9,-8.306,0.445,0
6R4pk0zpkyS7KWRXOQkTa2,0.138,0.112,117.324,0.0427,0.775,0.154,0.634,7,-17.548,0.535,0
5jgFfDIR6FR0gvlA56Nakr,0.127,0.0573,93.699,0.0342,0.754,1.41e-05,0.686,7,-14.361,0.372,1
33Fcvwkex4XC2ju0JIRg36,0.311,0.116,126.025,0.033,0.742,0.00781,0.518,7,-12.006,0.214,1
5kzznwcdgc7xEUPd1om6jx,0.485,0.17,127.039,0.0297,0.199,5.29e-06,0.428,11,-7.758,0.0657,1
4KENwGqp2nyyseIcUB5lib,0.209,0.078,151.18,0.0312,0.954,0.00029,0.261,1,-14.987,0.135,1
5oYkuJL2VQ3Ss2oxNuRk3L,0.148,0.0895,130.738,0.0327,0.929,0.0016,0.654,6,-11.963,0.287,1
2kARZH1SSseRigNMbgtDzB,0.421,0.202,94.331,0.0313,0.65,0.00438,0.707,5,-15.321,0.535,1
3EnD9mAbEHTFKDGjhZixBL,0.398,0.665,109.806,0.026,0.0981,0.00242,0.693,0,-11.794,0.0695,1
4Q6Kuze3wNMQRjamyBjHUR,0.194,0.0803,135.753,0.0352,0.699,2.98e-05,0.494,0,-8.965,0.161,1
6V2SKZhymLim16ri8A7K6h,0.274,0.245,81.928,0.0333,0.482,0.000135,0.563,3,-12.995,0.183,1
0j9KNQ9pDEQejEm3wdgiAr,0.256,0.0675,139.904,0.0335,0.797,0.00129,0.483,8,-13.891,0.582,1
0bSsYXX28u4GO1t6Qhb63I,0.302,0.131,137.367,0.0282,0.92,0.0354,0.428,5,-9.701,0.247,0
7H9srrl4Rd9KM037X8cEhm,0.286,0.108,136.882,0.0285,0.27,0.024,0.394,7,-11.638,0.134,1
44Gke80KttYib3M9VqX9Kr,0.82,0.107,137.967,0.0295,0.102,0.65,0.625,1,-6.298,0.45,0
4RnGrqfEnbcTbtiCWdjDYv,0.549,0.102,179.491,0.0259,0.569,0.00305,0.433,2,-7.143,0.229,1
1wV3ZgBuui1rhpKVPVnplu,0.104,0.107,108.959,0.0404,0.963,0,0.805,9,-13.237,0.335,1
2bbhyUWJ5VjdfI3P4PRLu2,0.193,0.113,89.154,0.0421,0.862,9.74e-06,0.49,11,-9.544,0.184,1
2irzVkBOMSMRR5ClkoWcsh,0.729,0.102,112.053,0.0315,0.666,0.0127,0.619,6,-6.238,0.145,1
78rpLn7JCbdpp04eNw4NG9,0.452,0.39,109.37,0.0346,0.967,0.529,0.457,7,-11.265,0.58,1
6XFFQXF16UH0BTktvYx7hm,0.323,0.117,155.876,0.0313,0.678,0.000999,0.525,7,-9.152,0.266,1
344gQmSD38LqCXJD8RPUcI,0.194,0.0798,113.049,0.0336,0.954,0.00181,0.691,7,-14.06,0.143,1
1J3w85cS3FEmoSKRu2dQJ8,0.0859,0.16,78.372,0.0511,0.94,0,0.561,6,-11.478,0.117,0
37zzo7K7CNJH8FOG0jPzEN,0.314,0.0964,77.456,0.0336,0.857,0,0.588,7,-9.276,0.417,1
4LACX6LhCSWhJ45lpbaxlA,0.327,0.111,117.19,0.0405,0.494,0.0054,0.376,2,-12.697,0.0416,0
0bJfgUyjfPJYqRgUxb12Eh,0.178,0.103,74.995,0.0314,0.938,1.03e-05,0.511,0,-11.919,0.209,1
479baFlu6tC0mE5dNn068r,0.184,0.109,127.741,0.0325,0.799,0.000203,0.343,0,-13.433,0.15,1
