user_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence,mffc1-mean,mffc2-mean,mffc3-mean,mffc4-mean,mffc5-mean,mffc6-mean,mffc7-mean,mffc8-mean,mffc9-mean,mffc10-mean,mffc11-mean,mffc12-mean,mffc1-variance,mffc2-variance,mffc3-variance,mffc4-variance,mffc5-variance,mffc6-variance,mffc7-variance,mffc8-variance,mffc9-variance,mffc10-variance,mffc11-variance,mffc12-variance,relax
User_303972,0.7015,0.2008666667,127.7071666667,0.0619,0.0431673333,0.17437325,0.464,-8.334,0.3416166667,47.1281304711,33.24871211,3.1986632402,-8.7487065005,11.1051047714,-31.6123685674,2.4452641108,-0.5074177025,-4.9397022619,0.9936052174,-9.6607383558,-1.7378480527,40.834433988,2082.0432301734,1958.7388295914,1149.7109934084,641.0259692152,564.9973068803,504.9036870526,387.4785133362,279.5820047619,244.9492036102,168.1465331639,183.8480597514,1
User_217668,0.6094153846,0.1254153846,128.2673076923,0.0352384615,0.3346507692,0.1157471154,0.4863076923,-8.3717692308,0.4588461538,47.0236170528,-0.6037196483,3.1098820752,-12.0759768027,12.849464432,-26.2155237977,-3.3305945306,-1.581675204,-2.5445626015,-0.8660656569,-6.6088520686,0.9064082168,35.8059667531,2422.6817242914,1333.1816255508,1041.8662874364,606.2810451697,501.0436937398,429.45376146,366.4293340627,253.120398726,202.7345396517,193.7865428986,183.3907500138,1
User_1274159,0.547875,0.1556375,119.5205,0.1534125,0.3862625,0.1650685,0.68825,-8.561375,0.5545,44.977113867,-14.4439501523,-18.0494468028,-10.7161192552,20.7153624836,-22.4555247691,-2.6596097961,-3.2449012713,-4.5441942818,-2.5089680167,-11.9761867647,-0.0879697211,60.6240383408,3798.2153302868,2566.8190547957,2811.5871724266,887.9730515582,1116.4529489734,577.2671432174,583.3417610346,268.0746228573,370.2786316561,395.5544936297,179.8667595124,1
User_443358,0.3998045455,0.16705,121.8133181818,0.0376409091,0.6044172727,0.0618391545,0.5004090909,-10.7746363636,0.3756363636,44.0896166934,-14.1512684474,-10.0999515159,-19.1100661715,15.2166864185,-20.6918709003,-8.7276781673,-2.7665218469,-4.1367873297,-1.378444138,-8.7204677729,2.5447011195,44.751964914,2842.0284251659,1558.6912452574,1389.3805108836,561.3174307478,572.0470017785,486.0713539217,475.0413661902,248.5284077674,252.8702665654,247.389668218,167.4095505051,1
User_214048,0.5998333333,0.13885,108.5641666667,0.03835,0.18931455,0.14489764,0.5511666667,-7.8265,0.3733333333,46.6736608167,20.0267743304,5.8065025392,-9.3661941512,13.0256461679,-24.9586167371,-0.6275525423,-0.0990125826,-6.801021316,-1.016957362,-8.8018685952,-0.2130182946,43.1951291827,3013.5767334524,1945.5821677344,1245.0911195843,683.6140266262,627.4368609979,565.6588543136,430.2930698145,269.0853028286,231.2830136796,226.1138831522,198.5796806202,1
User_131980,0.4759166667,0.1757,103.08,0.0540333333,0.3630833333,0.2534133333,0.5408333333,-9.5996666667,0.3261666667,44.3061933553,-26.2692388457,-23.0721397256,-16.8938094933,8.2165119741,-25.4358559362,-5.1283996918,-1.0612538478,-4.3007353742,-1.7317533989,-9.3219206376,-0.8110340439,57.8038252746,3600.8610226042,3077.7253555823,1856.290218925,951.8413112083,852.1255174459,564.6712628786,516.2847940155,334.6031170314,271.3342786636,264.1389683037,196.1687146677,1
User_1170920,0.605,0.112,121.986,0.0318,0.0183,0.837,0.63,-7.495,0.752,46.9188184049,-28.2358208589,13.0539472393,-4.3219582822,19.4086613497,-36.3036969325,13.586591411,-0.3397840491,-1.2144711656,-0.514795092,-5.6830245399,-8.1761766871,37.2233358441,2594.959350501,1583.5097140894,786.8677442734,922.2056486026,625.6659143638,452.3480182395,366.0636190983,249.1542912519,226.7923999272,187.1909463876,166.8794407771,1
User_656101,0.1870666667,0.1293333333,97.791,0.0378333333,0.8956666667,0.8416666667,0.1683333333,-20.8526666667,0.069,35.259848267,-82.6884829879,-1.1716868112,-25.5840914854,29.175394844,-35.6557688778,-8.3658119477,-0.4209802972,1.1731406276,-0.8444912296,-4.2763836045,-4.7373332226,44.6768856088,2792.1257079481,2244.3545556009,742.3894539637,819.2275753359,217.9189507523,455.3187168497,240.7676985376,251.9368390941,146.1448295292,96.9305527381,187.0619208375,1
User_1444645,0.387,0.24865,167.1135,0.035,0.52,0.0427,0.509,-10.8995,0.5475,41.5041204007,-27.2541641926,-4.9564657595,-7.9033427883,22.0201093489,-24.6407855754,3.0650152948,2.9693400128,-5.3937147113,0.918973583,-5.8719933473,2.4593453576,48.6073484584,4152.6927988301,2316.9874910074,2850.3896804597,804.5296464952,1025.1270070102,591.713814733,517.7579693016,301.2009843596,384.749209177,389.1331389927,213.114025261,1
User_740705,0.16022,0.13504,105.368,0.04001,0.8419,0.453656716,0.3566,-17.5804,0.16659,36.9386804851,-45.1500300693,33.3729461115,-5.0022770899,40.546991164,-24.9897034972,-6.408131857,0.5422582231,-3.1628378164,-2.8181983846,-5.1413275066,4.9920909734,44.6013481866,3772.4051228841,2024.8482534023,1670.9382851173,935.5552106666,402.1537919991,849.7257322725,359.7455709428,352.2842131047,187.0959903129,231.6546805931,285.44540361,1
